run,best_out_rmse,best_train_rmse_at_best_out,avg_train_rmse_around_best_out
1,0.29516913299555086,0.01639009795367713,0.016187141214693185
2,0.27716609476523274,0.013605036909771287,0.014139175114164742
3,0.28722358559920863,0.013218023456693297,0.013270091725967223
4,0.342628850628558,0.015399144293982626,0.016281230732402716
5,0.3212608278616853,0.013536264983436594,0.014454432554653004
6,0.34698771372406867,0.015583923109282905,0.015333371496902806
7,0.3326676496753681,0.016156961919312447,0.014556769877548984
8,0.28738978699069545,0.016133148956773615,0.015384531566512158
9,0.3775680151986342,0.01220512852144817,0.01273570781293674
10,0.3863662693181311,0.013789807179985854,0.015047708503105673
