run,best_out_rmse,best_train_rmse_at_best_out,avg_train_rmse_around_best_out
1,0.2804595913892576,0.016113947724517373,0.015104677414515566
2,0.31668522392450293,0.013705131197613652,0.01368991324042507
3,0.28214701023028643,0.01420101793708362,0.014452700393715106
4,0.32743204833281814,0.013580550502616506,0.014366185826485378
5,0.30929183468297416,0.015513778630085889,0.014773615446261703
6,0.33597299477002723,0.015013670017183511,0.014934940860887659
7,0.272139465569609,0.014545883864267098,0.014736157056930693
8,0.32033022389571625,0.013778878735524937,0.013955545464835625
9,0.3023657492586254,0.014771686065590137,0.01494572514062678
10,0.25655573075130966,0.014154252103953447,0.01399206728497839
