run,best_out_rmse,best_train_rmse_at_best_out,avg_train_rmse_around_best_out
1,0.30538474291242773,0.013888473506341557,0.014455796752660344
2,0.30243935515041115,0.013260977407263138,0.013508675652445528
3,0.26837300483928545,0.01456893665916713,0.015153586292817479
4,0.300374164303916,0.012804114195000188,0.013210005496316032
5,0.31456100793064357,0.014473171061685212,0.01493402579516288
6,0.336978762398919,0.015015741634114394,0.014544351512591048
7,0.2705383283568854,0.014857333526220772,0.015271312754693232
8,0.32553969010731537,0.014286063159880003,0.014306765205404475
9,0.3231326375682159,0.014768572751491814,0.015167825298824702
10,0.2649377740371269,0.013401529360980161,0.013451565480960116
