run,best_out_rmse,best_train_rmse_at_best_out,avg_train_rmse_around_best_out
1,0.2699766211189652,0.014146592266023418,0.014702818583145335
2,0.3429017655428681,0.014272228841692193,0.0149024811777346
3,0.27399833928600376,0.015225702653919164,0.01498662545177509
4,0.3022143049886526,0.014240937277132907,0.014140307760712041
5,0.3290258144966249,0.014436160220425863,0.015153000016432326
6,0.30107094078989277,0.015286974148422098,0.014623849178713563
7,0.3266018414869738,0.015239948084732174,0.015096117644007815
8,0.3103289289245595,0.013964326034466058,0.014170323995034127
9,0.38409751164490136,0.014338772659702036,0.015193345089561805
10,0.2853454066976168,0.01309871281282514,0.014213099211824978
