run,best_out_rmse,best_train_rmse_at_best_out,avg_train_rmse_around_best_out
1,0.2588339712655418,0.013525514158827787,0.013440520035064145
2,0.29927825684617565,0.012440350682754644,0.012761998287910945
3,0.2586276000534274,0.014056446673311516,0.013529333549417362
4,0.27114451699823394,0.012679742127594349,0.012943251859418787
5,0.29605593125277985,0.013598920110273562,0.013969229262357117
6,0.2973866570967172,0.013224441881947331,0.013420141946213738
7,0.2598321729043402,0.014476796729433776,0.014346715732785375
8,0.27636508469068055,0.012569079589659991,0.012296534837567152
9,0.32383561764137375,0.014722336193806432,0.014327565557123927
10,0.28907350570759643,0.013313237165534255,0.013313363660507794
