datetime,I_sg,CH14,CH15,T_0,T_270,T_90,T_180,I_aps,mf,CH7,CH8,pw,elapsed_time,Isg,eta,T_0_smooth,T_0_dTdt,T_90_smooth,T_90_dTdt,T_180_smooth,T_180_dTdt,T_270_smooth,T_270_dTdt
2025/10/25 10:08,10.08,23.9,0.4005,25.7,26.1,26.3,25.9,-0.9884,22.78634116,4.89,0.171,1.897506525,0,3.280902712,3.072325176,25.58910128,0.021855308,26.06668752,0.027200538,25.68126738,0.022017973,25.87677535,0.022805703
2025/10/25 10:08,10.08,23.9,0.4005,25.8,26.1,26.3,25.9,-0.9878,22.78634116,4.89,0.172,1.897215292,1,3.280510368,3.07269262,25.61094137,0.021824888,26.0938634,0.027151233,25.70326241,0.021972097,25.89956325,0.022770104
2025/10/25 10:08,10.07,24,0.4061,25.8,26.1,26.4,25.9,-0.9891,23.20216111,4.89,0.172,1.897215292,2,3.315727306,3.037041069,25.63275107,0.021794518,26.12099002,0.027102031,25.72521161,0.021926335,25.92231559,0.022734574
2025/10/25 10:08,10.07,23.9,0.4046,25.8,26.1,26.4,25.9,-0.9898,23.10491971,4.9,0.175,1.902619018,3,3.31624234,3.036569397,25.65453042,0.021764199,26.14806749,0.027052932,25.74711512,0.021880687,25.94503242,0.022699113
2025/10/25 10:08,10.08,23.9,0.4039,25.9,26.1,26.4,25.9,-0.9874,23.05040585,4.89,0.172,1.897215292,4,3.304309577,3.050561627,25.67627948,0.021733931,26.17509592,0.027003937,25.76897303,0.021835155,25.96771383,0.022663721
2025/10/25 10:08,10.09,24,0.4013,25.9,26.1,26.4,26,-0.9881,22.82897667,4.89,0.172,1.897215292,5,3.284691086,3.071826159,25.6979983,0.021703714,26.2020754,0.026955044,25.79078546,0.021789736,25.99035989,0.022628399
2025/10/25 10:08,10.07,24,0.4031,25.9,26.2,26.4,26.1,-0.9868,22.96864346,4.89,0.171,1.897506525,6,3.29813148,3.053243954,25.71968693,0.021673548,26.22900604,0.026906256,25.81255254,0.021744432,26.01297066,0.022593145
2025/10/25 10:08,10.07,24.1,0.4024,25.9,26.2,26.5,26.1,-0.9874,22.89481794,4.89,0.17,1.897797652,7,3.291920864,3.059004277,25.74134542,0.021643432,26.25588795,0.02685757,25.83427436,0.021699242,26.0355462,0.022557961
2025/10/25 10:08,10.07,24.1,0.4031,25.9,26.2,26.5,26.1,-0.9858,22.94912091,4.89,0.171,1.897506525,8,3.296397279,3.054850235,25.76297381,0.021613367,26.28272122,0.026808988,25.85595106,0.021654167,26.0580866,0.022522846
2025/10/25 10:08,10.09,24.1,0.4069,25.9,26.2,26.5,26.1,-0.9884,23.24478576,4.89,0.172,1.897215292,9,3.318896907,3.040166743,25.78457217,0.021583353,26.30950596,0.026760509,25.87758274,0.021609207,26.08059192,0.0224878
2025/10/25 10:08,10.08,24.1,0.4028,25.9,26.3,26.5,26.1,-0.9881,22.92584205,4.89,0.175,1.896340961,10,3.292725023,3.061294195,25.80614053,0.02155339,26.33624227,0.026712133,25.89916951,0.02156436,26.10306222,0.022452824
2025/10/25 10:08,10.08,24.1,0.4046,26,26.3,26.5,26.1,-0.9851,23.06565373,4.89,0.171,1.897506525,11,3.305883633,3.04910914,25.82767896,0.021523477,26.36293026,0.026663861,25.9207115,0.021519628,26.12549759,0.022417916
2025/10/25 10:08,10.08,24,0.4043,25.9,26.3,26.5,26.1,-0.9854,23.06193958,4.89,0.174,1.89663251,12,3.304339952,3.050533585,25.84918751,0.021493616,26.38957002,0.026615692,25.94220881,0.021475011,26.14789808,0.022383078
2025/10/25 10:08,10.08,24,0.402,25.9,26.3,26.5,26.1,-0.9868,22.88325198,4.89,0.171,1.897506525,13,3.290395035,3.063461953,25.87066621,0.021463805,26.41616167,0.026567626,25.96366156,0.021430508,26.17026377,0.022348309
2025/10/25 10:08,10.08,24,0.4031,25.9,26.3,26.6,26.1,-0.9861,22.96864346,4.89,0.172,1.897215292,14,3.297719758,3.056657551,25.89211513,0.021434045,26.44270531,0.026519663,25.98506986,0.02138612,26.19259472,0.02231361
